,ATELNO,Sources
26744,ATEL #12376,1FGLJ0648.7-1740
26745,ATEL #12376,BZQJ0648-1744
26746,ATEL #12376,TXS0646-176
26747,ATEL #12377,3FGLJ1221.3+3010
26748,ATEL #12378,sn2019np
26749,ATEL #12381,PMNJ0633-3350
26750,ATEL #12382,PGC 165356
26751,ATEL #12382,atlas19bdc
26752,ATEL #12382,at2019rf
26753,ATEL #12383,grb181201a
26754,ATEL #12384,at2019rn
26755,ATEL #12384,ngc0877
26756,ATEL #12384,atlas19bdu
26757,ATEL #12386,asassn-19xx
26758,ATEL #12386,at2019rm
26759,ATEL #12386,at2019xyz
26760,ATEL #12386,2MASX J05531375-7306576
26761,ATEL #12386,asassn-19at
26762,ATEL #12387,ztf19aaddzpk
26763,ATEL #12387,sn2019qr
26764,ATEL #12387,ztf19aacilht
26765,ATEL #12387,ztf19aaaonuk
26766,ATEL #12387,sn2019qo
26767,ATEL #12387,at2019oa
26768,ATEL #12387,ztf19aaaojkv
26769,ATEL #12387,sn2019cp
26770,ATEL #12388,sn2019rn
26771,ATEL #12388,atlas19bdu
26772,ATEL #12389,at2019so
26773,ATEL #12389,ngc4622
26774,ATEL #12389,atlas19bfk
26775,ATEL #12390,grb190114c
26776,ATEL #12391,ztf18aacdbzx
26777,ATEL #12391,ztf19aadgimr
26778,ATEL #12391,sn1998s
26779,ATEL #12391,asassn-18acl
26780,ATEL #12391,sn1996l
26781,ATEL #12391,ztf19aaafgbt
26782,ATEL #12391,ztf19aaaajtq
26783,ATEL #12391,atlas19awz
26784,ATEL #12391,ztf19aacijie
26785,ATEL #12391,ztf19aacsofi
26786,ATEL #12391,ztf19aaaheft
26787,ATEL #12391,ztf19aacqeai
26788,ATEL #12391,ztf18adcbyiw
26789,ATEL #12391,atlas19bdu
26790,ATEL #12391,atlas19axa
26791,ATEL #12391,atlas19awx
26792,ATEL #12392,ngc2442
26793,ATEL #12392,PGC 279613
26794,ATEL #12392,ngc2434
26795,ATEL #12392,at2019sm
26796,ATEL #12393,asassn-19af
26797,ATEL #12393,asassn-19xx
26798,ATEL #12393,asassn-19aj
26799,ATEL #12393,at2019b
26800,ATEL #12393,at2019a
26801,ATEL #12393,at2019cj
26802,ATEL #12393,asassn-19au
26803,ATEL #12393,at2019xyz
26804,ATEL #12393,at2019rv
26805,ATEL #12393,at2019mh
26806,ATEL #12393,asassn-19ao
26807,ATEL #12393,at2019oy
26808,ATEL #12393,asassn-19ah
26809,ATEL #12393,at2019rz
26810,ATEL #12393,at2019im
26811,ATEL #12393,asassn-19av
26812,ATEL #12393,asassn-19ab
26813,ATEL #12393,asassn-19aa
